StrideIndex,NormalizedTime,ankle_sagittal
1,0,-0.780965362746765
1,1,-1.73372813700684
1,2,-3.43936226023829
1,3,-5.33788134083506
1,4,-6.66491059291292
1,5,-7.21336744731264
1,6,-7.11518054764986
1,7,-6.45901473991241
1,8,-5.37797968174192
1,9,-4.18371754186751
1,10,-3.20485015693414
1,11,-2.59780435164666
1,12,-2.21550715946567
1,13,-1.67492123246498
1,14,-0.746440374049532
1,15,0.363661950023075
1,16,1.24150304019149
1,17,1.70474235948342
1,18,1.97667583114703
1,19,2.40764578936983
1,20,3.0715924617158
1,21,3.74730782906804
1,22,4.30181507655569
1,23,4.79759382949197
1,24,5.22281134053895
1,25,5.44164849017361
1,26,5.40992140615227
1,27,5.24768585696375
1,28,5.15060844573209
1,29,5.22952923706853
1,30,5.40180125718865
1,31,5.56860592405357
1,32,5.75490491379175
1,33,5.95197559460101
1,34,6.07131712358528
1,35,6.10283598475584
1,36,6.11933649331776
1,37,6.1968622855507
1,38,6.37557903758773
1,39,6.71007840664524
1,40,7.21069657788651
1,41,7.69897086146167
1,42,7.9484359328369
1,43,7.98558740076313
1,44,8.04720981850924
1,45,8.32670712928928
1,46,8.81110094226865
1,47,9.22441892500205
1,48,9.2851006358879
1,49,9.02135342117985
1,50,8.58153182587602
1,51,7.99718181593581
1,52,7.1943134557321
1,53,6.09107938769437
1,54,4.66084043651077
1,55,2.99760924749209
1,56,1.22688427264241
1,57,-0.627605315432897
1,58,-2.66392671699701
1,59,-4.86069287311589
1,60,-6.78826164434377
1,61,-7.84766420762333
1,62,-7.91008191818363
1,63,-7.25827910995888
1,64,-6.30049393865588
1,65,-5.35004429420085
1,66,-4.58138542008373
1,67,-3.98371596078764
1,68,-3.34602716641074
1,69,-2.50739695891064
1,70,-1.55201666569574
1,71,-0.622224088045858
1,72,0.221282614478845
1,73,0.941402955310156
1,74,1.48507706134517
1,75,1.86850136392664
1,76,2.18271398385977
1,77,2.46467541723559
1,78,2.7072394320532
1,79,2.93243594039936
1,80,3.12732453675718
1,81,3.27519355090282
1,82,3.45550718966948
1,83,3.74194595106721
1,84,4.04885871413905
1,85,4.18320980536031
1,86,4.04771888966022
1,87,3.77143057970184
1,88,3.56877307897506
1,89,3.45295594947269
1,90,3.19755831203384
1,91,2.69061966353427
1,92,2.14462063245851
1,93,1.83188315796636
1,94,1.70865959598694
1,95,1.47931073167529
1,96,1.01509750373507
1,97,0.567746052131958
1,98,0.422178435184452
1,99,0.525163980702262
1,100,0.631446237054528
2,0,0.631446237054528
2,1,0.509321413659429
2,2,-0.0624215431338655
2,3,-1.17543513737093
2,4,-2.71767574221803
2,5,-4.3925433648864
2,6,-5.68482129254276
