StrideIndex,NormalizedTime,ankle_sagittal
1,0,-6.82900684797446
1,1,-9.5556647355544
1,2,-12.5637401890568
1,3,-14.2970275570265
1,4,-14.3481659838324
1,5,-13.6160068547561
1,6,-12.9541966993245
1,7,-12.3839013543893
1,8,-11.4856932717668
1,9,-10.0823404712372
1,10,-8.44897015872397
1,11,-7.00291334751661
1,12,-5.91024558891332
1,13,-5.11288058774927
1,14,-4.5633670528182
1,15,-4.16816283135706
1,16,-3.77881586836965
1,17,-3.31571896059956
1,18,-2.84769107435788
1,19,-2.43428657235842
1,20,-2.00777671357806
1,21,-1.42711272056663
1,22,-0.740851978959418
1,23,-0.136520438834056
1,24,0.231875812374466
1,25,0.397650725787158
1,26,0.559783813579468
1,27,0.81083294726291
1,28,0.997446292196249
1,29,1.00411012889143
1,30,1.08101064770114
1,31,1.54005886779945
1,32,2.31999829057456
1,33,3.25648095604152
1,34,4.1966086974934
1,35,4.9200086205404
1,36,5.33319033242281
1,37,5.616364060524
1,38,5.88254177269925
1,39,6.03933275845766
1,40,6.04770467792787
1,41,6.0553457271676
1,42,6.17902115640543
1,43,6.36624765072583
1,44,6.57211088539343
1,45,6.80616976123027
1,46,6.98517915184306
1,47,6.96685820873138
1,48,6.59731605943002
1,49,5.83855582683595
1,50,4.77253750281469
1,51,3.50311120029892
1,52,1.98233759496325
1,53,0.0264739365328185
1,54,-2.53044055735183
1,55,-5.70425706731185
1,56,-9.29227270525465
1,57,-12.975169600092
1,58,-16.4007204205229
1,59,-19.3825226011893
1,60,-21.7599844525407
1,61,-23.2794454805736
1,62,-23.5444841708418
1,63,-22.3197283483922
1,64,-19.7780390605129
1,65,-16.6243528823049
1,66,-13.5834772836017
1,67,-10.9661987354604
1,68,-8.65117546036122
1,69,-6.45687284935469
1,70,-4.42100195684117
1,71,-2.66528449237903
1,72,-1.09432521251822
1,73,0.401079977321413
1,74,1.68533530560015
1,75,2.5633244897607
1,76,3.11984447763372
1,77,3.54102077121201
1,78,3.90781207808953
1,79,4.20316225438304
1,80,4.41833737645983
1,81,4.48109053057169
1,82,4.23008922260882
1,83,3.55969056025731
1,84,2.53238606609987
1,85,1.38441811877098
1,86,0.312961704566468
1,87,-0.635195041802851
1,88,-1.50480846968272
1,89,-2.34501415932913
1,90,-3.16078106742822
1,91,-3.94956915477136
1,92,-4.76667610677476
1,93,-5.66507315114025
1,94,-6.56150288467001
1,95,-7.34995159494412
1,96,-7.99295818029154
1,97,-8.33639322623107
1,98,-8.22499346983302
1,99,-7.88908624719242
1,100,-7.92954246862814
2,0,-9.23495461218632
2,1,-12.6509385081752
2,2,-16.2563864301701
2,3,-18.3637372568963
2,4,-18.3163558638617
2,5,-16.8456652173218
2,6,-14.9682838099332
2,7,-13.2712918931088
2,8,-11.9186233990014
2,9,-10.8901572991593
2,10,-9.9943366071824
2,11,-8.97758223971285
2,12,-7.80367587567764
2,13,-6.61776467302128
2,14,-5.58598324019479
2,15,-4.78570548575469
2,16,-4.16790164268864
2,17,-3.61948840558632
2,18,-3.11957825168812
2,19,-2.81522206616253
2,20,-2.73215652073289
2,21,-2.63231656746646
2,22,-2.29764545163266
2,23,-1.73919762694907
2,24,-1.10862858558172
2,25,-0.516544498123963
2,26,-0.110803992201397
2,27,0.060484681519807
2,28,0.247858314220053
2,29,0.595939987056162
2,30,0.899264845051071
2,31,1.04000790662978
2,32,1.18949360607126
2,33,1.48283998411427
2,34,1.86401932173816
2,35,2.17637098216229
2,36,2.33239973205764
2,37,2.4394143737302
2,38,2.71192157951632
2,39,3.28914317449193
2,40,4.05119982587101
2,41,4.6635280211687
2,42,4.96308916661798
2,43,5.13673143859388
2,44,5.41553219229498
2,45,5.74898393907824
2,46,5.86656381502048
2,47,5.65104714532417
2,48,5.26454469138161
2,49,4.85245801089309
2,50,4.36890324452674
2,51,3.64454225707147
2,52,2.61074481503834
2,53,1.32414813826324
2,54,-0.202590508266662
2,55,-2.03984827083186
2,56,-4.27446827455857
2,57,-6.88875583436892
2,58,-9.7485044723324
2,59,-12.5663356574443
2,60,-15.0589897171072
2,61,-17.047635607881
2,62,-18.4954067203826
2,63,-19.3998496256575
2,64,-19.6335608694964
2,65,-18.9446681210652
2,66,-17.1720467090756
2,67,-14.6477722584648
2,68,-12.0906973718191
2,69,-10.079703974436
2,70,-8.63336722541697
2,71,-7.34420287358378
2,72,-5.9681023470153
2,73,-4.54728041194276
2,74,-3.1548726566806
2,75,-1.85977528829988
2,76,-0.854160321326867
2,77,-0.234953819738045
2,78,0.217789936524124
2,79,0.637363671324696
2,80,0.86085733974803
2,81,0.687183258505863
2,82,0.080971749834486
2,83,-0.842322479296069
2,84,-1.89395985506161
2,85,-2.87147910436804
2,86,-3.59816266580448
2,87,-4.02759980106326
2,88,-4.28579782640639
2,89,-4.52452261861188
2,90,-4.83956983616816
2,91,-5.3183013385746
2,92,-6.13104121949233
2,93,-7.32901401124195
2,94,-8.64505055375408
2,95,-9.69292598172901
2,96,-10.2267186069055
2,97,-10.2635071331639
2,98,-9.94106752206118
2,99,-9.4193465518992
2,100,-8.94603182291605
3,0,-8.94603182291605
3,1,-8.99249456467669
3,2,-9.95675154157196
3,3,-11.7677107579473
3,4,-13.6356850238432
3,5,-14.4884741348418
3,6,-14.0532885131095
3,7,-12.9739033793213
3,8,-12.0093708454117
3,9,-11.4685580384174
3,10,-11.2108951765997
3,11,-10.9537505879951
3,12,-10.4663512005343
3,13,-9.76434230321318
3,14,-9.09654083859206
3,15,-8.59911004577593
3,16,-8.14988283388982
3,17,-7.61379119978864
3,18,-7.00455013608728
3,19,-6.38921770089963
3,20,-5.83247652475147
3,21,-5.32469692309111
3,22,-4.80816187750434
3,23,-4.28957123254541
3,24,-3.86817436131505
3,25,-3.61919953159673
3,26,-3.46777955374565
3,27,-3.25055466075092
3,28,-2.87547876975544
3,29,-2.39025488157483
3,30,-1.85394649254234
3,31,-1.29480060597
3,32,-0.774059634362258
3,33,-0.256020092795849
3,34,0.38265516583901
3,35,1.15691647040904
3,36,1.91583544609208
3,37,2.46352102320099
3,38,2.74816034376824
3,39,2.84433037198794
3,40,2.87155339187747
3,41,2.9831421738869
3,42,3.30773313924212
3,43,3.85140354038135
3,44,4.45351148537535
3,45,4.98280637309393
3,46,5.50985854935955
3,47,6.09337796907143
3,48,6.63370633585423
3,49,7.00609334232307
3,50,7.1076377124282
3,51,6.85885046830464
3,52,6.1802517651133
3,53,4.98304503133501
3,54,3.20666399631268
3,55,0.945685227807213
3,56,-1.59623772814048
3,57,-4.327594205272
3,58,-7.25962622718912
3,59,-10.2384206096649
3,60,-12.9330563609778
3,61,-14.9875516184403
3,62,-16.1053861375792
3,63,-16.0530786279421
3,64,-14.9809837588108
3,65,-13.4430413464632
3,66,-11.9762471518897
3,67,-10.7267218838357
3,68,-9.50506488050575
3,69,-8.21244272767478
3,70,-6.98365480338233
3,71,-5.96259865992478
3,72,-5.09837910662285
3,73,-4.24515561575953
3,74,-3.37217827129571
3,75,-2.61674523970918
3,76,-2.07750468751694
3,77,-1.65319155044088
3,78,-1.18110826750153
3,79,-0.698424255596722
3,80,-0.431516609292553
3,81,-0.597625835595587
3,82,-1.27779043315041
3,83,-2.30565914321539
3,84,-3.38303047143508
3,85,-4.30834926759298
3,86,-5.08610550001642
3,87,-5.8350604610546
3,88,-6.63354095569648
