StrideIndex,NormalizedTime,ankle_sagittal
1,0,-7.10471296556764
1,1,-8.57708845345269
1,2,-11.9620852710727
1,3,-16.0932671814163
1,4,-18.4416191530334
1,5,-17.6484328412317
1,6,-14.6851815560525
1,7,-11.4502841215333
1,8,-9.19877599093032
1,9,-7.85810305358281
1,10,-6.65869462781559
1,11,-5.36314425184926
1,12,-4.40588466791557
1,13,-3.96097594154653
1,14,-3.62645680126234
1,15,-3.07576066083162
1,16,-2.44478264591723
1,17,-1.98854827352403
1,18,-1.66070401054981
1,19,-1.19309191134406
1,20,-0.555721776384602
1,21,0.000706046805377735
1,22,0.258388017973924
1,23,0.26410400464156
1,24,0.22988913013233
1,25,0.293280892211368
1,26,0.48685601929882
1,27,0.665069918020174
1,28,0.583435451523726
1,29,0.239504502869333
1,30,-0.0660867278580636
1,31,-0.083464806911525
1,32,0.152481673282846
1,33,0.408383832483381
1,34,0.473142877693294
1,35,0.319097388882645
1,36,0.0261425942791871
1,37,-0.223594053970488
1,38,-0.266827967496913
1,39,-0.214888346678015
1,40,-0.336933522000192
1,41,-0.664595935505174
1,42,-0.918312945767208
1,43,-0.879033750910374
1,44,-0.611910162559678
1,45,-0.375736813911916
1,46,-0.367855905880137
1,47,-0.570305938353926
1,48,-0.833450262634861
1,49,-1.05876524757134
1,50,-1.28987912917638
1,51,-1.72717917387157
1,52,-2.68097744028855
1,53,-4.42601184922474
1,54,-7.06482835745931
1,55,-10.4259884648372
1,56,-14.0040607480473
1,57,-17.3031849843874
1,58,-20.2671386507755
1,59,-23.1869849859074
1,60,-26.0830345426791
1,61,-28.1662239422142
1,62,-28.0689830182499
1,63,-25.081069779136
1,64,-20.1322758751752
1,65,-15.0671930765129
1,66,-11.4329093827204
1,67,-9.67474926194186
1,68,-9.08839775770794
1,69,-8.70807289278689
1,70,-7.96064820072091
1,71,-6.80548971176092
1,72,-5.61490741397546
1,73,-4.72257307578303
1,74,-4.14105690830469
1,75,-3.68786513126771
1,76,-3.24819066407308
1,77,-2.82929601426064
1,78,-2.42141649064959
1,79,-2.03917801371782
1,80,-1.76774130996395
1,81,-1.65145334625405
1,82,-1.58465945489235
1,83,-1.47397742066594
1,84,-1.36898569014169
1,85,-1.37514048660207
1,86,-1.59600226284688
1,87,-2.0577138380886
1,88,-2.64028637243793
1,89,-3.14073006809048
1,90,-3.47510805323718
1,91,-3.86371963603739
1,92,-4.66218552021909
1,93,-5.89129173274073
1,94,-6.96433434118596
1,95,-7.34368907454705
1,96,-7.21800267336814
1,97,-7.07908415075936
1,98,-7.01749554586423
1,99,-6.74219332044043
1,100,-6.32225749258367
2,0,-6.51600614600409
2,1,-7.06693709711891
2,2,-8.85590028620394
2,3,-11.9560061765179
2,4,-15.2252537393571
2,5,-17.0141566385244
2,6,-16.2512587243351
2,7,-13.4335344867674
2,8,-10.3201495330075
2,9,-8.24259761050198
2,10,-7.25521568480382
2,11,-6.72273742781902
2,12,-6.21897050562709
2,13,-5.72806356887232
2,14,-5.28992855580057
2,15,-4.7636239433819
2,16,-3.99697266326928
2,17,-3.0019379706642
2,18,-1.94845098791084
2,19,-1.01807014386509
2,20,-0.322932996178654
2,21,0.0654664727570905
2,22,0.171677074836123
2,23,0.144265007976344
2,24,0.18899363552258
2,25,0.390730393235946
2,26,0.630363341926286
2,27,0.791211485983213
2,28,0.91278169182421
2,29,1.06184413983819
2,30,1.17339122181271
2,31,1.15875063169698
2,32,1.02691814128038
2,33,0.858031383049377
2,34,0.698602653618711
2,35,0.532023251463146
2,36,0.359619696108821
2,37,0.213242589783611
2,38,0.138323548837164
2,39,0.123019524211125
2,40,0.113416843990178
2,41,0.0438840099919068
2,42,-0.143039951272328
2,43,-0.408883223181545
2,44,-0.676225425737327
2,45,-0.908089854125883
2,46,-1.18493822444919
2,47,-1.631427659366
2,48,-2.29629417911945
2,49,-3.10657243352269
2,50,-3.88010566689922
2,51,-4.56342468773887
2,52,-5.56668888227326
2,53,-7.6946430013704
2,54,-11.4400983750593
2,55,-16.3776334158262
2,56,-21.2649519789866
2,57,-24.8168679893384
2,58,-26.7341786227448
2,59,-27.2306118377271
2,60,-26.190843497172
2,61,-23.3356389993589
2,62,-19.1740573304333
2,63,-15.1194257990152
2,64,-12.3131473667148
2,65,-11.0041722701354
2,66,-10.5721277933794
2,67,-10.1707099795212
2,68,-9.46303724801096
2,69,-8.67950133823228
2,70,-8.10008378270478
2,71,-7.6433422714017
2,72,-7.05228935862462
2,73,-6.2734745885816
2,74,-5.48286603589056
2,75,-4.88502355147689
2,76,-4.51235918617243
2,77,-4.27160134861778
2,78,-4.00962259762674
2,79,-3.62903964691087
2,80,-3.22162418658309
2,81,-2.97580581480736
2,82,-2.98189054774457
2,83,-3.13045304845297
2,84,-3.23660297751308
2,85,-3.18668070938307
2,86,-3.02580917978902
2,87,-2.95431605874155
2,88,-3.11993165127375
2,89,-3.58915274116915
2,90,-4.4330444987048
2,91,-5.64734623801207
2,92,-6.95983623556764
2,93,-7.79990952087815
2,94,-7.87379371719719
2,95,-7.52169299830638
2,96,-7.16036818170082
2,97,-6.77545805382649
2,98,-6.16155529033148
2,99,-5.37489105486501
2,100,-4.74751783536694
3,0,-4.74751783536694
3,1,-4.85376741935764
3,2,-6.30867900967589
3,3,-9.20419008553819
3,4,-12.701774498455
3,5,-15.0715733908993
3,6,-15.0070696044905
3,7,-12.8879333124157
3,8,-10.1040564751457
3,9,-7.81137524648518
3,10,-6.394865156492
3,11,-5.53699276693392
3,12,-4.78694755602795
3,13,-3.99488143875615
3,14,-3.22078765561301
3,15,-2.47887524612131
3,16,-1.76661748870158
3,17,-1.26261216265683
3,18,-1.11424579687859
3,19,-1.11703066817235
3,20,-0.94510551675907
3,21,-0.508695767955442
3,22,0.113346706076911
3,23,0.812233350620248
3,24,1.43619903614545
3,25,1.79960995072681
3,26,1.83997428153352
3,27,1.73399932332182
3,28,1.7021774655703
3,29,1.77154794665092
