StrideIndex,NormalizedTime,ankle_sagittal
1,0,-2.88604391999298
1,1,-5.20409140898766
1,2,-9.53883406639702
1,3,-13.364179713204
1,4,-14.1706855372881
1,5,-11.8320133045481
1,6,-8.20455395891265
1,7,-5.41737699859301
1,8,-4.29300230845821
1,9,-4.02420774689791
1,10,-3.4433298982034
1,11,-2.22134884697973
1,12,-0.743255961687896
1,13,0.573150454810831
1,14,1.5100055175102
1,15,2.09023990266806
1,16,2.4737349879965
1,17,2.77286086777435
1,18,3.00185283177788
1,19,3.14806068586318
1,20,3.18128640703208
1,21,3.08783809260701
1,22,2.91285429338431
1,23,2.7336943839411
1,24,2.59228951412087
1,25,2.49908110395843
1,26,2.40891055706837
1,27,2.16059591995769
1,28,1.6683896573021
1,29,1.13546774531741
1,30,0.88505783501133
1,31,1.00014969821179
1,32,1.28321979362727
1,33,1.52462991826045
1,34,1.67804889291256
1,35,1.8657397162049
1,36,2.26892390819555
1,37,2.86361698993177
1,38,3.41021790445305
1,39,3.79081971101374
1,40,4.06814284398804
1,41,4.28767560269781
1,42,4.42312574108138
1,43,4.49775120136557
1,44,4.58952147223815
1,45,4.69924573992508
1,46,4.71619275636443
1,47,4.55289580000593
1,48,4.23461983318431
1,49,3.76703793609532
1,50,3.00962371091285
1,51,1.78511371474421
1,52,0.0657595475926648
1,53,-2.07184577112993
1,54,-4.4721716525328
1,55,-6.950712281042
1,56,-9.36839664168189
1,57,-11.5741056115156
1,58,-13.2232260397421
1,59,-13.8406932415155
1,60,-13.3246897391186
1,61,-12.0880234893397
1,62,-10.7368595152955
1,63,-9.60763325237457
1,64,-8.59169819171674
1,65,-7.46983522999674
1,66,-6.22858323127163
1,67,-5.05215951322659
1,68,-4.11297451411119
1,69,-3.44120338979949
1,70,-2.92836724629993
1,71,-2.47378844886052
1,72,-2.05158922514948
1,73,-1.6817176245816
1,74,-1.38979833021194
1,75,-1.18412877806539
1,76,-1.04956172290105
1,77,-0.941255734050828
1,78,-0.830181654837409
1,79,-0.740675200413832
1,80,-0.709900417347742
1,81,-0.752898016746683
1,82,-0.852624668274055
1,83,-1.05326218812443
1,84,-1.46603151708078
1,85,-2.10601598598077
1,86,-2.87793690207732
1,87,-3.68449993365546
1,88,-4.45883720033409
1,89,-5.14227355222851
1,90,-5.70324035415783
1,91,-6.11934089156906
1,92,-6.39693467623576
1,93,-6.60497561753122
1,94,-6.82927474901914
1,95,-7.03913113382671
1,96,-6.96789006495173
1,97,-6.28820402339
1,98,-5.19184406776435
1,99,-4.85393785947692
1,100,-6.83919994029387
2,0,-6.83919994029387
2,1,-11.4815754859042
2,2,-16.4924140718174
2,3,-17.9426678817529
2,4,-14.2230662741001
2,5,-8.42825242784832
2,6,-4.69278528282685
2,7,-3.84183416461014
2,8,-3.78263647579697
2,9,-2.46243331972516
2,10,0.176079872613552
2,11,2.47481687578484
2,12,3.12099965662248
2,13,2.60629983580741
2,14,2.2397632340054
2,15,2.52499416688843
2,16,2.98650269914317
2,17,3.06477255944656
2,18,2.76337320091799
2,19,2.52314950866139
2,20,2.65716450135326
2,21,2.99451296886163
2,22,3.09516752196172
2,23,2.80043050715735
2,24,2.40825741295271
2,25,2.2672991121069
2,26,2.30587131610264
2,27,2.10185160228216
2,28,1.44579476712998
2,29,0.623560138257632
2,30,0.0690718665689091
2,31,-0.104709274701222
2,32,-0.14483800656166
2,33,-0.24688316718222
2,34,-0.219583920723891
2,35,0.233742836619915
2,36,1.04745085032064
2,37,1.88301821416365
2,38,2.58354457453591
2,39,3.29833477299418
2,40,4.1221627563011
2,41,4.89544613761385
2,42,5.42048481513043
2,43,5.74289385689145
2,44,6.05843334518192
2,45,6.43231649883822
2,46,6.72186296960033
2,47,6.76143697432987
2,48,6.52582070545589
2,49,6.11300388015309
2,50,5.60185380136281
2,51,4.88797696082489
2,52,3.69273772344928
2,53,1.81919383566579
2,54,-0.575767985441355
2,55,-3.15284951359158
2,56,-5.60611265079682
2,57,-7.76312496892388
2,58,-9.48699418340222
2,59,-10.6120879159747
2,60,-10.9748443842596
2,61,-10.6195077249064
2,62,-9.87666418218564
2,63,-9.00150150690749
2,64,-8.01806289109348
2,65,-6.90089464110372
2,66,-5.76645904138798
2,67,-4.76885480616069
2,68,-3.94002334283323
2,69,-3.21238595914973
2,70,-2.54133257825818
2,71,-1.9383139358819
2,72,-1.4207315279858
2,73,-1.05496790561028
2,74,-0.902587797389666
2,75,-0.881559889000724
2,76,-0.823803434133675
2,77,-0.733396620805125
2,78,-0.777899412534111
2,79,-0.954051776763568
2,80,-1.05049403619092
2,81,-0.97234169988883
2,82,-0.883304433102831
2,83,-0.975311013261555
2,84,-1.28336849599749
2,85,-1.72588853966128
2,86,-2.19712815210382
2,87,-2.65890937623225
2,88,-3.12747451206551
2,89,-3.6328508040773
2,90,-4.21833367094178
2,91,-4.85354990411104
2,92,-5.41493318338502
2,93,-5.78078050856108
2,94,-5.93149564705076
2,95,-5.94871566289607
2,96,-5.91969045299437
2,97,-5.78429457538624
2,98,-5.36628598366571
2,99,-4.60447231556114
2,100,-3.817754815268
3,0,-5.97523157499841
3,1,-11.2157395255313
3,2,-16.2197357835075
3,3,-17.2694702955047
3,4,-13.9540823570012
3,5,-9.23218186863699
3,6,-6.01152568152059
