StrideIndex,NormalizedTime,ankle_sagittal
1,0,-11.3480378091355
1,1,-16.1739949619071
1,2,-20.2945937941966
1,3,-22.0864659467427
1,4,-21.2117255581554
1,5,-18.7986831467772
1,6,-16.4260648619233
1,7,-14.7418084310357
1,8,-13.3327689331138
1,9,-11.6774976869656
1,10,-9.85656558892873
1,11,-8.2537448345284
1,12,-7.09482899228482
1,13,-6.33864351816973
1,14,-5.79415227237775
1,15,-5.28602922357209
1,16,-4.73967316708099
1,17,-4.22525482280508
1,18,-3.9129785321034
1,19,-3.87227472923975
1,20,-3.93155292163931
1,21,-3.82687725721633
1,22,-3.50990087641459
1,23,-3.13572792633694
1,24,-2.80815444580612
1,25,-2.4888923014727
1,26,-2.07247809707477
1,27,-1.48754683421942
1,28,-0.780808624343223
1,29,-0.142312602638169
1,30,0.205593328562917
1,31,0.248589936045551
1,32,0.265137338845288
1,33,0.537453659855227
1,34,1.00017329433645
1,35,1.36163626848712
1,36,1.50890385409923
1,37,1.56241602403291
1,38,1.65500257000835
1,39,1.7636095081806
1,40,1.78621995442224
1,41,1.66012882228769
1,42,1.35786529239681
1,43,0.886060996239064
1,44,0.296105447989332
1,45,-0.321770271666893
1,46,-0.937667784353343
1,47,-1.62177891989294
1,48,-2.46101899197018
1,49,-3.48356959365488
1,50,-4.69993902370755
1,51,-6.2289050741404
1,52,-8.34234301540273
1,53,-11.2504122968363
1,54,-14.7454561614281
1,55,-18.1237876193155
1,56,-20.7072682997505
1,57,-22.5388750953249
1,58,-23.9955232466371
1,59,-25.0164775229347
1,60,-25.1313351622301
1,61,-24.1460389308648
1,62,-22.3816572982122
1,63,-20.3310823663408
1,64,-18.3586051382662
1,65,-16.5390953235378
1,66,-14.7552728497218
1,67,-12.8865274531169
1,68,-10.9494930848508
1,69,-9.04795519041801
1,70,-7.30649824021587
1,71,-5.84542023924566
1,72,-4.77182095737134
1,73,-4.01835152596552
1,74,-3.34330847588608
1,75,-2.56028948600994
1,76,-1.75500667389156
1,77,-1.15594747318141
1,78,-0.874384497508796
1,79,-0.806968298305763
1,80,-0.707285605796469
1,81,-0.442777245173048
1,82,-0.184564605165771
1,83,-0.189970557280627
1,84,-0.493125377607688
1,85,-0.935462569909435
1,86,-1.3721965255325
1,87,-1.77408564851603
1,88,-2.16692475088822
1,89,-2.60342162774488
1,90,-3.23067272713886
1,91,-4.21352622164459
