StrideIndex,NormalizedTime,ankle_sagittal
1,0,0.112392459080027
1,1,-2.97345321379553
1,2,-8.41156479629162
1,3,-13.5487348489764
1,4,-15.8122123751283
1,5,-14.8673539888817
1,6,-12.3035347922207
1,7,-9.90817295328977
1,8,-8.55170090240791
1,9,-8.08449943020254
1,10,-7.87461757144228
1,11,-7.38419224866797
1,12,-6.46756336855456
1,13,-5.29691263060979
1,14,-4.04785678255187
1,15,-2.76946871745328
1,16,-1.45575268902959
1,17,-0.155809117567395
1,18,1.02224780382872
1,19,1.98546427903895
1,20,2.68226954446171
1,21,3.10188993244731
1,22,3.29065926122297
1,23,3.35601013694447
1,24,3.39456389943196
1,25,3.40732097154243
1,26,3.3430560363246
1,27,3.17277966759378
1,28,2.9316685795859
1,29,2.73171666771077
1,30,2.69126418915867
1,31,2.81907126191895
1,32,3.01305615349452
1,33,3.15312079014608
1,34,3.17496094841155
1,35,3.12383194505944
1,36,3.12212469493111
1,37,3.23725131267629
1,38,3.41699397680074
1,39,3.54016230846084
1,40,3.49920662866657
1,41,3.25956513362648
1,42,2.86886979329288
1,43,2.38952773587818
1,44,1.83721483787457
1,45,1.18946363741389
1,46,0.421854346438109
1,47,-0.511034414530427
1,48,-1.72541187289548
1,49,-3.45668730397718
1,50,-5.96775738520272
1,51,-9.331643802252
1,52,-13.3032646401636
1,53,-17.3514640190256
1,54,-20.9855503890266
1,55,-23.856561524888
1,56,-25.6759458418548
1,57,-26.1817321206335
1,58,-25.2248969839501
1,59,-23.0020434122635
1,60,-20.0854123442847
1,61,-17.0702353346396
1,62,-14.347145983224
1,63,-12.02940025624
1,64,-9.9878447923464
1,65,-8.03292305702789
1,66,-6.00966536420541
1,67,-3.87805278802174
1,68,-1.72132991339895
1,69,0.29766652923355
1,70,2.00733079663425
1,71,3.31197829881191
1,72,4.18899974435884
1,73,4.71313151702326
1,74,5.01334114559515
1,75,5.20745811494771
1,76,5.32260486317936
1,77,5.30821130214866
1,78,5.17386632815769
1,79,5.0148785755044
1,80,4.89863058582577
1,81,4.8277304369332
1,82,4.79488952066435
1,83,4.79773118919477
1,84,4.80525838994439
1,85,4.74024580548684
1,86,4.51511759936839
1,87,4.09636249368762
1,88,3.49831528523621
1,89,2.71620825297011
1,90,1.77459110330152
1,91,0.825607488664091
1,92,0.0905099295440106
1,93,-0.263507776089214
1,94,-0.252890118276204
1,95,-0.0760520458287306
1,96,0.14182806511047
1,97,0.515855371406308
1,98,1.16569659270015
1,99,1.81868130611732
1,100,1.7450603729982
2,0,-5.228888487702
2,1,-10.8882305334257
2,2,-14.5290297407601
2,3,-14.4292879438636
2,4,-11.7877517733351
2,5,-8.99230651917328
2,6,-7.44473111905626
2,7,-7.06291271119976
2,8,-7.06220864739636
2,9,-6.82081672265764
2,10,-6.18524764266523
2,11,-5.28492870840476
2,12,-4.2436254559966
2,13,-3.07699893444668
2,14,-1.75046442488844
2,15,-0.304381182630443
2,16,1.09468894577557
2,17,2.25340192672922
2,18,3.03917241689535
2,19,3.44837733726339
2,20,3.60925243155562
2,21,3.65995690245709
2,22,3.6772489454023
2,23,3.67424352275022
2,24,3.64875398534079
2,25,3.60758384793324
2,26,3.54469626179999
2,27,3.44371922511896
2,28,3.29627669170328
2,29,3.12708040586896
2,30,3.00945101931914
2,31,2.99102584303337
2,32,3.03969429546498
2,33,3.07935498564063
2,34,3.03967599144491
2,35,2.89007016718183
2,36,2.65356297226198
2,37,2.39541205245179
2,38,2.17541934012996
2,39,1.98606185452657
2,40,1.77240710990922
2,41,1.50067882087924
2,42,1.15172871061727
2,43,0.689266410774104
2,44,0.0724019858448967
2,45,-0.730301808782189
2,46,-1.72966914446698
2,47,-2.96608550316011
2,48,-4.54545931825196
2,49,-6.6007513815914
2,50,-9.25341661561606
2,51,-12.5145689035493
2,52,-16.255656674898
2,53,-20.0992439685629
2,54,-23.4787431623562
2,55,-25.824915310431
2,56,-26.7100765872484
2,57,-26.128923486885
2,58,-24.5483065530125
2,59,-22.5791341670545
2,60,-20.6824578225392
2,61,-18.9966374788924
2,62,-17.3256400225269
2,63,-15.3862241673275
2,64,-13.0672736933626
2,65,-10.5044528569092
2,66,-7.90892294719124
2,67,-5.43114141746939
2,68,-3.15112998616012
2,69,-1.12138647351595
2,70,0.582314232664808
2,71,1.92872953471796
2,72,2.92976186239446
2,73,3.64268611956334
2,74,4.13660902192265
2,75,4.47708382138584
2,76,4.74979547738563
2,77,5.03270910847417
2,78,5.35446075914677
2,79,5.6733764767863
2,80,5.88436632198647
2,81,5.88321255509131
2,82,5.65035422892644
2,83,5.27655460163026
2,84,4.90974200041821
2,85,4.62646202162726
2,86,4.38842029652153
2,87,4.11487679221164
2,88,3.7614732492531
2,89,3.33928206449513
2,90,2.86484246458682
2,91,2.33777901709347
2,92,1.78714951515194
2,93,1.28628881240368
2,94,0.869014778909279
2,95,0.505398465017458
2,96,0.219569754444818
2,97,0.218348677435956
2,98,0.796959833754423
2,99,1.96702997166508
2,100,3.10788405009838
3,0,-4.97224163743733
3,1,-7.82598879529785
3,2,-9.8304482137824
3,3,-10.242537911258
3,4,-9.12853145544874
3,5,-7.32915248890905
3,6,-5.7469288799945
