StrideIndex,NormalizedTime,emg_vastusmedialis,emg_vastuslateralis,emg_rectusfemoris,emg_bicepsfemoris,emg_semitendinosus,emg_gracilis,imu_thigh_Accel_X,imu_thigh_Accel_Y,imu_thigh_Accel_Z,imu_thigh_Gyro_X,imu_thigh_Gyro_Y,imu_thigh_Gyro_Z,gon_knee_sagittal
84,11,0.231001887900859,0.409589991194218,0.59548184714442,0.0112766690879405,0.113545955993367,0.0873600932521276,-0.813719007214506,-1.10550886688524,-0.297197258869134,-1.40561634520151,-0.201468369261539,-2.87308132870761,-18.0534513954942
84,12,0.19185063567043,0.337526820309172,0.519470012021896,0.0241622602257179,0.101647462422246,0.077795102682725,-0.645020192457888,-0.819758629664913,-0.0941090642955167,-1.77523898193155,-0.230068153649677,-1.20944604440503,-19.2687129730929
84,13,0.154465505306435,0.27126415442274,0.438772086219351,0.0415895078096955,0.0948061772119527,0.069015757104896,-0.646151289369846,-0.362621961196176,0.157886031238489,-1.25939327010718,-0.40121394086869,-0.210608454890726,-19.1834167645079
84,14,0.120946821818366,0.214634308071035,0.359066004676832,0.0586697494110538,0.0910028260107135,0.0612155549396266,-0.734788275426698,-0.113421256127178,0.471326880161229,-0.820588977699968,-0.885833044676714,-0.693164461567896,-18.2312902356965
84,15,0.0929471436370865,0.169753735607814,0.285522353384925,0.0721517440291912,0.088649895621421,0.0545771638692727,-0.799198476488272,-0.0408047635402097,0.741099784546802,-0.525882246349336,-0.970477011619713,-1.44254781737296,-17.118376362354
84,16,0.071468118379471,0.136868667990465,0.222211467816143,0.0803004429017221,0.0865342459038336,0.0491989463270052,-0.871843727538846,-0.0851884186906911,0.861804683366289,-0.132747266916993,-0.542221279698025,-1.68867623236755,-16.5062112497494
84,17,0.0567959064300589,0.114652346233319,0.171763853313495,0.0826237305279598,0.0837762297954717,0.0450859413893218,-0.979046573892522,-0.147936556277185,0.700399669440252,0.200659446439703,-0.340546620562013,-1.71036871375091,-16.5466395180969
84,18,0.0485578321599522,0.100749336614183,0.135351257588233,0.0795288087596682,0.07978418027824,0.0421781617877629,-1.07078757112795,-0.204484347908143,0.363340476450787,0.191872011709696,-0.199227418342086,-1.68393265083166,-16.8524755511607
84,19,0.0457970184297336,0.0923452565301067,0.11265683334202,0.0720516525240642,0.074246031719026,0.0403739059242904,-1.10273016169678,-0.189830399634648,0.123901804005343,-0.0921752641548081,0.0756970855209897,-1.60709821721833,-16.9132490612599
84,20,0.0472047524622117,0.0868250095937925,0.102139072496299,0.0615393935387214,0.0671134567042976,0.0395591824568648,-1.04150913236156,-0.11281931826556,0.0603341281564067,-0.407298578034826,0.183070735685037,-1.75452416607685,-16.4259999318214
84,21,0.0513103916627396,0.0821616332618833,0.101268368528906,0.0494537829376177,0.0586038370254345,0.0396095332475545,-0.89467705669423,-0.0513730507520063,0.111944677883193,-0.450909761226201,0.0898465078846789,-2.10451969695823,-15.5223019813633
84,22,0.0566456426288317,0.0770903163429635,0.106780198637014,0.0372538434345133,0.0492377510066824,0.040375478989208,-0.819205786910812,-0.00868475063231926,0.115021068465646,-0.258205823967657,-0.0593576773204685,-2.20963260637207,-14.5938402284487
84,23,0.0619326353719443,0.0710736524739936,0.115238447402136,0.026317839679737,0.0398612091985273,0.0416958143689132,-0.845459910050067,-0.0175288848228105,0.0995661426704325,-0.24077967189291,-0.175341649614112,-2.11097633265132,-13.7872181339386
84,24,0.0661782399483127,0.0641094714947506,0.123503930513059,0.0179462050807028,0.0316896477988655,0.0434143074602886,-0.92235080110616,-0.059774052815729,0.0396315233921575,-0.428353960947185,-0.305641831266835,-2.09941555044775,-12.9928266313199
84,25,0.0687431906859589,0.0565041362598134,0.129212924317793,0.01333260327949,0.0262837593313572,0.0453976467030519,-0.962374023587129,-0.0853432817130316,-0.00268091162715936,-0.818284141788839,-0.414123592208528,-2.17791599373172,-12.1782950504326
84,26,0.069337771785601,0.0486564144005118,0.131038145972384,0.0135620833380958,0.0254613425288612,0.0475439253152837,-0.98813907490072,-0.117862115073352,-0.00770263904067469,-1.39805088733461,-0.493075559685032,-2.30834587204932,-11.4277969457049
84,27,0.0679868845667569,0.0409259658929001,0.128686857053823,0.0195546224889604,0.0311025968995994,0.0497707949817732,-0.974907823048865,-0.151111450135176,0.0446487167832456,-1.92969312345121,-0.512222211079773,-2.37873942183478,-10.7461102354804
84,28,0.0649735284359785,0.0335813303257134,0.122723792308418,0.0319525334914996,0.0448392204566399,0.0519934530051368,-0.958852687209704,-0.148139905141992,0.139785064289148,-2.1720478215924,-0.46259986468543,-2.3924247350944,-10.093845661686
84,29,0.0607497898870308,0.0268246931089974,0.114260654996608,0.0510539370333568,0.067814120437389,0.0540934496330788,-0.927181513155371,-0.145417477076149,0.25391616338963,-2.09978963356214,-0.37637456840777,-2.38351653264306,-9.52833538994107
84,30,0.0558710200988367,0.0208454352569971,0.104688570252627,0.076671931368474,0.100396917172923,0.0558888368512339,-0.92788538585609,-0.160250945036469,0.417655180365323,-1.84629770249362,-0.236529586559878,-2.39829245119129,-9.01890439779357
84,31,0.0509236803624948,0.0158556401119936,0.0954012614071461,0.10805055733723,0.141999274166204,0.0571226256197736,-0.858939649594464,-0.17292295547307,0.501176026638528,-1.66474224139504,-0.100971621679566,-2.38427783250653,-8.37619433629355
84,32,0.0464597090516313,0.012089484188526,0.0875533612380722,0.143892085546883,0.191079816042807,0.0574694073575956,-0.885363834864987,-0.123714444768463,0.530041527047177,-1.48770076737949,-0.0227437670077477,-2.45392951751259,-7.50769387594292
84,33,0.0429335677181442,0.00975948476743149,0.0818771006925554,0.182404306142207,0.245204084081413,0.0565769460405697,-0.938282799335961,-0.0470934166015446,0.471995272353519,-1.23375251520575,-0.0100061179851795,-2.34387215623424,-6.57148326740539
84,34,0.0406441742996154,0.00900914524941771,0.0786054433397835,0.221484803421775,0.301372691732322,0.0541266493065187,-0.958176587237976,-0.0247633178355336,0.300968903657796,-0.981504695351391,-0.00970163203717689,-2.00478478194216,-5.77793949716495
84,35,0.0397089025322726,0.00987476495697128,0.0775229137566868,0.258946473851733,0.356482650088989,0.0498996001310994,-0.93990562567608,-0.00466279264981257,0.116226827835225,-0.772728028282825,-0.0108122602960292,-1.6209441259939,-5.22196523765599
