StrideIndex,NormalizedTime,ankle_sagittal
1,0,-11.9512676877919
1,1,-13.4760913775183
1,2,-15.9474042865952
1,3,-18.4091374765151
1,4,-19.3749485688598
1,5,-17.9282556243227
1,6,-14.6985906390195
1,7,-11.2088737279758
1,8,-8.59743700405176
1,9,-7.14039610967364
1,10,-6.43201102849227
1,11,-5.93885646320835
1,12,-5.36022129384378
1,13,-4.68011103128506
1,14,-4.05127819127758
1,15,-3.60168622847449
1,16,-3.3279188428233
1,17,-3.14415992839552
1,18,-2.99179461416706
1,19,-2.81545886877319
1,20,-2.54071138242578
1,21,-2.22023113552345
1,22,-2.04692046670202
1,23,-2.11942656073678
1,24,-2.31657663944716
1,25,-2.48749282215555
1,26,-2.65485178815255
1,27,-2.92251953207931
1,28,-3.33710724875816
1,29,-3.86022067266826
1,30,-4.36462615548749
1,31,-4.6701118947343
1,32,-4.70392834969438
1,33,-4.61997283005682
1,34,-4.63312989898832
1,35,-4.7972540166952
1,36,-4.99269003367279
1,37,-5.08884446203482
1,38,-5.08925293455652
1,39,-5.06419391672984
1,40,-5.05930737882885
1,41,-5.12997632773683
1,42,-5.3506987432386
1,43,-5.69483354324132
1,44,-6.00806271602422
1,45,-6.23448345489125
1,46,-6.53893725642955
1,47,-7.08925408013585
1,48,-7.80454765045761
1,49,-8.45285930459876
1,50,-8.95863635087995
1,51,-9.48833289950879
1,52,-10.2974809430964
1,53,-11.6189713818601
1,54,-13.6481819235619
1,55,-16.4089549368197
1,56,-19.4874136440934
1,57,-22.2252980864865
1,58,-24.3520643427623
1,59,-25.9526611593334
1,60,-26.9123012818314
1,61,-26.7433868443684
1,62,-25.1742514197102
1,63,-22.6101727397698
1,64,-19.7576351447447
1,65,-17.1118987713753
1,66,-14.8424071250789
1,67,-12.9156941428962
1,68,-11.2082551294676
1,69,-9.56158057576962
1,70,-7.90994967569375
1,71,-6.30362827090351
1,72,-4.85968520913451
1,73,-3.66139035082651
1,74,-2.77405146005842
1,75,-2.19169698265203
1,76,-1.7961492270851
1,77,-1.4808508400956
1,78,-1.24672538556627
1,79,-1.11032940400072
1,80,-0.996592317665125
1,81,-0.885122140496983
1,82,-0.947184050652547
1,83,-1.44397582930681
1,84,-2.54503319792
1,85,-4.21405217416613
1,86,-6.14250522278507
1,87,-7.74095480438793
1,88,-8.59661969886523
1,89,-8.89547556456799
1,90,-9.12732654140944
1,91,-9.58618031811907
1,92,-10.2547418335641
1,93,-10.9714513157469
1,94,-11.5429948212703
1,95,-11.8529249349955
1,96,-11.8953879335601
1,97,-11.6923393308325
1,98,-11.1757347831059
1,99,-10.3180792527703
1,100,-9.58393971184078
2,0,-20.9434848014337
2,1,-20.680742809762
2,2,-20.9376322430501
2,3,-20.634491665277
2,4,-18.7674140175084
2,5,-15.7980352641724
2,6,-13.1296438642102
2,7,-11.4940707957051
2,8,-10.5619075227659
2,9,-9.61751370059427
2,10,-8.31772429932071
2,11,-6.95205459951762
2,12,-6.08182634141694
2,13,-5.82840668123003
2,14,-5.76293757167081
2,15,-5.51988462243873
2,16,-5.13589662217088
2,17,-4.77351614970428
2,18,-4.45005941496877
2,19,-4.14753215914562
2,20,-3.92655044522292
2,21,-3.84825248715151
2,22,-3.89562618964497
2,23,-4.00310381215667
2,24,-4.07240141517765
2,25,-4.06351440590045
2,26,-4.08230840673724
2,27,-4.24715374005373
2,28,-4.54555146943538
2,29,-4.89500221899116
2,30,-5.24239702998284
2,31,-5.5592707257287
2,32,-5.88055525923377
2,33,-6.23367511576967
2,34,-6.51285883357017
2,35,-6.58056090828735
2,36,-6.44057063842524
2,37,-6.22605066740368
2,38,-6.07577675046026
2,39,-6.10076187792397
2,40,-6.2871902079885
2,41,-6.47586432448257
2,42,-6.57113004131273
2,43,-6.63320789584358
2,44,-6.71137820555998
2,45,-6.79850937514154
2,46,-6.90805238103899
2,47,-7.09525304760751
2,48,-7.45604399044844
2,49,-8.00548919007281
2,50,-8.55289964034147
2,51,-8.92395635100489
2,52,-9.28121197807399
2,53,-10.0516737673003
2,54,-11.6384927043631
2,55,-14.1125913214929
2,56,-17.0037952472738
2,57,-19.678907247404
2,58,-21.8199584951371
2,59,-23.3210791501648
2,60,-24.0217482624654
2,61,-23.7307705035929
2,62,-22.5459856684174
2,63,-20.8150594184111
2,64,-18.8624437138942
2,65,-16.8750617507506
2,66,-14.90771355971
2,67,-12.9930367807164
2,68,-11.1609881823761
2,69,-9.42994259066843
2,70,-7.75605274026408
2,71,-6.07581555152816
2,72,-4.4863551555328
2,73,-3.23565020201707
2,74,-2.4387889346917
2,75,-1.93618814511622
2,76,-1.54192442729533
2,77,-1.18033641808099
2,78,-0.821755233450164
2,79,-0.469752088725848
2,80,-0.199183009510187
2,81,-0.143929641852455
2,82,-0.461806583973498
2,83,-1.2178620520072
2,84,-2.28637430480692
2,85,-3.53747006133429
2,86,-4.91827170917123
2,87,-6.32221845481323
2,88,-7.54177060112009
2,89,-8.51900298371449
2,90,-9.38125286518135
2,91,-10.1936404005178
2,92,-10.8233854090162
2,93,-11.0698711122146
2,94,-10.9699573192264
2,95,-10.7865860707162
2,96,-10.6845220321414
2,97,-10.5967914168938
2,98,-10.4157510003643
2,99,-10.2450419637488
2,100,-10.5808862820876
3,0,-8.93583223355954
3,1,-9.38305699513183
3,2,-11.8124584127857
3,3,-16.0460817438321
3,4,-20.1193496662296
3,5,-21.4608080232349
3,6,-19.5170427851518
3,7,-16.0256416556368
3,8,-13.0579897671315
3,9,-11.6230362772629
3,10,-11.3003803537424
3,11,-11.0789646456547
3,12,-10.4299884493021
3,13,-9.45414369549225
3,14,-8.41203074755837
3,15,-7.48713989098365
3,16,-6.8022608554441
3,17,-6.46091362350838
3,18,-6.37411610846601
3,19,-6.25453685946259
3,20,-5.95318017564028
3,21,-5.58016764540362
3,22,-5.28976433357848
3,23,-5.14677449104226
3,24,-5.0856296626207
3,25,-5.02226151588986
3,26,-4.9494398093232
3,27,-4.88865418016919
3,28,-4.83799755012212
3,29,-4.73895640472956
3,30,-4.58074182537339
3,31,-4.48876569466533
3,32,-4.50050640752546
3,33,-4.50680297665208
3,34,-4.40519236237187
3,35,-4.16221552384591
3,36,-3.85260860442612
3,37,-3.6312608289004
3,38,-3.59995444290479
3,39,-3.740171097332
3,40,-3.90195149724556
