StrideIndex,NormalizedTime,ankle_sagittal
1,0,-4.71709657772707
1,1,-5.29827374143065
1,2,-6.95049472032108
1,3,-8.43315564852485
1,4,-8.72701635199627
1,5,-8.22940245663626
1,6,-8.00966329614214
1,7,-8.2874131425813
1,8,-8.28736217152081
1,9,-7.43083972774077
1,10,-6.063829127136
1,11,-4.89468301732734
1,12,-4.21629616268577
1,13,-3.8434288920142
1,14,-3.5318902139796
1,15,-3.21289523332002
1,16,-2.87951744530394
1,17,-2.52373446846907
1,18,-2.25931158905631
1,19,-2.25086631470328
1,20,-2.44644145447432
1,21,-2.67538304085162
1,22,-2.85793726521151
1,23,-2.96071372692561
1,24,-2.98639757843638
1,25,-3.04531148018007
1,26,-3.25577410712331
1,27,-3.56767931847759
1,28,-3.83746461432312
1,29,-4.03762182529158
1,30,-4.21697901043409
1,31,-4.34286503161902
1,32,-4.34614833887013
1,33,-4.26025365231292
1,34,-4.16417113056538
1,35,-4.05697927052019
1,36,-3.9137388039455
1,37,-3.77556624965858
1,38,-3.69330266380474
1,39,-3.65187598503092
1,40,-3.58416051203483
1,41,-3.4299387933415
1,42,-3.23288840305095
1,43,-3.17077412160167
1,44,-3.35743639174052
1,45,-3.69835482894791
1,46,-4.0430772861976
1,47,-4.37268549360401
1,48,-4.73782455874013
1,49,-5.12105612655196
1,50,-5.50546562834831
1,51,-5.97582397259034
1,52,-6.73927856463008
1,53,-8.16347992471537
1,54,-10.6490642048915
1,55,-14.1894564940583
1,56,-18.1699601945746
1,57,-21.7648164586837
1,58,-24.2029889104624
1,59,-24.9587466149864
1,60,-23.9239206923285
1,61,-21.4724388687162
1,62,-18.4181428714504
1,63,-15.5492959764254
1,64,-13.2222880748187
1,65,-11.4487949073434
1,66,-10.1107353028001
1,67,-9.11336108035123
1,68,-8.29249600508687
1,69,-7.38089729762381
1,70,-6.21417683019205
1,71,-4.90010832760225
1,72,-3.65538854378642
1,73,-2.59593784883464
1,74,-1.75002292577217
1,75,-1.09018564194017
1,76,-0.510033688017949
1,77,0.086332861860359
1,78,0.653954926484651
1,79,1.10106388994571
1,80,1.40504489765695
1,81,1.58563483104501
1,82,1.63112838162446
1,83,1.54717676041262
1,84,1.38217827514323
1,85,1.11660010340005
1,86,0.629797040175437
1,87,-0.22599091987916
1,88,-1.53578794499114
1,89,-3.25021409818781
1,90,-5.11679071057304
1,91,-6.70740467450434
1,92,-7.68406140432569
1,93,-7.94641075882088
1,94,-7.68314592149963
1,95,-7.31245813405687
1,96,-7.17169485825486
1,97,-7.33474298782886
1,98,-7.80954001292807
1,99,-8.71597540148066
1,100,-10.096996792598
2,0,-8.89288320460669
2,1,-10.8732749204896
2,2,-12.3023336360528
2,3,-12.2446185735007
2,4,-10.6610634252071
2,5,-8.57133615298062
2,6,-7.01211213448371
2,7,-6.21016945443832
2,8,-5.79758482846067
2,9,-5.40479560602173
2,10,-4.88470375825339
2,11,-4.26371595826088
2,12,-3.67802383200425
2,13,-3.22474476368532
2,14,-2.82282918724321
2,15,-2.3338311587224
2,16,-1.81693046876331
2,17,-1.49369991945851
2,18,-1.51359697275236
2,19,-1.79890639490025
2,20,-2.11090522479037
2,21,-2.30490884951869
2,22,-2.45946762321207
2,23,-2.68580647314542
2,24,-2.89932104818072
2,25,-2.9434767180843
2,26,-2.89045681060223
2,27,-2.97391336006186
2,28,-3.26012478522196
2,29,-3.56600913820936
2,30,-3.67848384044716
2,31,-3.57365387009152
2,32,-3.44747824519792
2,33,-3.48716124664526
2,34,-3.60456981449374
2,35,-3.57752604591704
2,36,-3.43081497322597
2,37,-3.42142409944633
2,38,-3.64449620267719
2,39,-3.90968382751387
2,40,-3.995812568878
2,41,-3.8614960713597
2,42,-3.66015716802539
2,43,-3.62161912629319
2,44,-3.86708346144562
2,45,-4.29206394790295
2,46,-4.72698071384219
2,47,-5.19208371518898
2,48,-5.82140924708838
2,49,-6.70230418166732
2,50,-7.91236800161286
2,51,-9.59704364748293
2,52,-11.9156491591397
2,53,-14.8446446326524
2,54,-17.9530730291211
2,55,-20.602550257434
2,56,-22.5512525281556
2,57,-23.8522453521527
2,58,-24.2806690995512
2,59,-23.3108277917116
2,60,-20.8778293778674
2,61,-17.8212812439049
2,62,-15.1676840604893
2,63,-13.3861272741908
2,64,-12.3625453026569
2,65,-11.6312291817968
2,66,-10.7670417625541
2,67,-9.68429281694797
2,68,-8.57298279511167
2,69,-7.57412084650765
2,70,-6.67656081710682
2,71,-5.81356841102801
2,72,-4.91344776547908
2,73,-3.90053530081547
2,74,-2.81831733703946
2,75,-1.84874505870927
2,76,-1.1019848083683
2,77,-0.542940872947233
2,78,-0.102949288578958
2,79,0.253365291366269
2,80,0.510222671915546
2,81,0.561813600989521
2,82,0.359348854319671
2,83,0.0394575197040445
2,84,-0.264726566578308
2,85,-0.637760029587345
2,86,-1.28113745117111
2,87,-2.30341964525657
2,88,-3.6537229606453
2,89,-5.11343642784129
2,90,-6.4084965777991
2,91,-7.38657606979372
