StrideIndex,NormalizedTime,ankle_sagittal
1,0,0.492097512773849
1,1,0.662548387712862
1,2,-2.38562830266256
1,3,-8.66475282028536
1,4,-14.929974397255
1,5,-17.4187826690903
1,6,-15.4877977809642
1,7,-11.3823704746511
1,8,-7.76723323359602
1,9,-5.99914693390808
1,10,-5.79538113500592
1,11,-6.0956326436654
1,12,-6.05302146964485
1,13,-5.36422492136076
1,14,-4.1668922275448
1,15,-2.81348503442532
1,16,-1.60811452920351
1,17,-0.718304257464574
1,18,-0.160629576729966
1,19,0.167145263975401
1,20,0.402569747148693
1,21,0.64060192375677
1,22,0.869674099557299
1,23,1.00014413278764
1,24,0.995872580229053
1,25,0.965928607481532
1,26,1.0438689912602
1,27,1.19863656405298
1,28,1.27955451786404
1,29,1.25155796419376
1,30,1.23123836936715
1,31,1.28584624078212
1,32,1.33425623246319
1,33,1.29454994316405
1,34,1.20417518176813
1,35,1.15879753645725
1,36,1.19225194752589
1,37,1.21406732428281
1,38,1.12367089792798
1,39,0.961896907083783
1,40,0.868058064132098
1,41,0.906487826802032
1,42,1.00610667846942
1,43,1.08404164991443
1,44,1.12713534824887
1,45,1.14808959686001
1,46,1.12503889170062
1,47,0.981361215495893
1,48,0.6451814252202
1,49,0.109088628619442
1,50,-0.599595036578676
1,51,-1.46163305220667
1,52,-2.49681606942678
1,53,-3.73479401546363
1,54,-5.20138360486389
1,55,-6.89323092172452
1,56,-8.78108061209284
1,57,-10.7570952256659
1,58,-12.6066623679674
1,59,-14.0191125989193
1,60,-14.7082895589422
1,61,-14.6403808505844
1,62,-14.0019233981192
1,63,-13.0009348982636
1,64,-11.7596894777356
1,65,-10.3257923548583
1,66,-8.77521433323345
1,67,-7.22942818361666
1,68,-5.83391886000799
1,69,-4.61950644956456
1,70,-3.49202119129808
1,71,-2.3511234552286
1,72,-1.21488432738764
1,73,-0.180051375884852
1,74,0.681715366765615
1,75,1.36589737319754
1,76,1.91534323813754
1,77,2.34710136917283
1,78,2.61657775493803
1,79,2.67168229161876
1,80,2.55439239621366
1,81,2.36555427594146
1,82,2.13194425187472
