StrideIndex,NormalizedTime,emg_vastusmedialis,emg_vastuslateralis,emg_rectusfemoris,emg_bicepsfemoris,emg_semitendinosus,emg_gracilis,imu_thigh_Accel_X,imu_thigh_Accel_Y,imu_thigh_Accel_Z,imu_thigh_Gyro_X,imu_thigh_Gyro_Y,imu_thigh_Gyro_Z,gon_knee_sagittal,ankle_sagittal
18,70,-0.793567942365437,-0.146077964697142,-1.75565458634523,-0.0473734531866331,0.00785943448075938,-0.0595269152044503,-0.863072995727821,-0.234891866653795,-0.436095927806826,-3.07689798717666,-1.103671177606,3.04041539989992,-67.9500089661786,-0.863734964846871
18,71,-0.795172417859231,-0.156179704010862,-1.75548775408419,-0.0501102494551156,0.00228203234452495,-0.061515716175849,-0.834976309435251,-0.237875186828747,-0.289311758027233,-3.32276222968397,-1.30558837039332,2.65975286049246,-67.5286004066365,0.645672622262871
18,72,-0.796544314293304,-0.162378698674894,-1.75921979505332,-0.0556330809448531,-0.00431558080796385,-0.0648452744707958,-0.811169653184586,-0.299589618944319,-0.143332580392306,-3.10872631984424,-1.46718782172684,2.28988727867574,-66.6076049348953,2.00263534567429
18,73,-0.798121229308813,-0.163674158880997,-1.7647339983289,-0.0639905239113356,-0.0114916228795758,-0.0685780420419296,-0.784487864055508,-0.369765004626884,-0.00296426608594611,-2.70177680125476,-1.59044726541484,2.01094772397043,-65.515568871397,2.95366509784701
18,74,-0.800133744095282,-0.159844995509387,-1.77052663296001,-0.0746547074273555,-0.0181879368455342,-0.0718060905440728,-0.758905282225331,-0.387874364311021,0.104444112097624,-1.95295003153746,-1.5996862251568,1.92310211394755,-64.6977544792722,3.62760148302792
18,75,-0.802496153339003,-0.151404469006349,-1.77585047915589,-0.0864344427677199,-0.022747121345927,-0.0737688594131999,-0.714012468067949,-0.388087420825702,0.177660432974409,-1.14201521939717,-1.51868952200659,1.93954215362108,-64.2523380753362,4.32204883134334
18,76,-0.804766250506053,-0.139440415151593,-1.7807129639952,-0.0974402703332018,-0.0230333161064745,-0.0739226914893302,-0.655514396528563,-0.365572497056325,0.247436184094653,-0.431226296270092,-1.36802280156423,1.91566702154115,-63.9977204175175,5.14592299402885
18,77,-0.806178411321176,-0.125392938645427,-1.78576251812503,-0.10512593457923,-0.0166591257771147,-0.0719408364962333,-0.594244035644312,-0.334499486435142,0.284150566197554,0.014458362975993,-1.18974071852531,1.84027337978952,-63.7225714494587,5.93058133317141
18,78,-0.805740559449706,-0.110824547786837,-1.79200398618742,-0.106430112971257,-0.00130538154065789,-0.0676535165401197,-0.55478041403317,-0.32727092434278,0.292614951095305,0.364061500035451,-1.01745338583117,1.78104039551781,-63.2703892768982,6.52859397392827
18,79,-0.802395225827374,-0.0972155014468259,-1.80033807899167,-0.0980353252674611,0.0248995502985455,-0.0609572212822516,-0.516329776317602,-0.371105578295665,0.289346155646385,1.07584582971379,-0.809012362909981,1.61979262488771,-62.41149807114,7.06532095254584
18,80,-0.79524749458553,-0.0857788808715506,-1.81104654841927,-0.0767424580460598,0.0629950037726096,-0.0517116180351652,-0.484227365003791,-0.422157093525357,0.269450989245185,1.83094188552019,-0.592754509520841,1.38954123740203,-60.9071236768848,7.68264973550343
18,81,-0.783843457196862,-0.0773037019485924,-1.82346562492864,-0.0399259039775951,0.11287229886195,-0.0396296732434455,-0.440745825554471,-0.492240650727489,0.242020261735852,2.75329952568381,-0.330485220407428,1.08654883059902,-58.8680336331496,8.29336288223852
18,82,-0.768459630743329,-0.0720856015938697,-1.83605379677382,0.0139505733413672,0.173080972173669,-0.0241853130917096,-0.393163871505893,-0.54204060653711,0.202080237802425,3.53565014770153,-0.0608042536373421,0.855793507799801,-56.5867136061999,8.80882750081205
18,83,-0.750311019920791,-0.0699782049059174,-1.84679194101404,0.0849186138879491,0.240878427273474,-0.00454298448742035,-0.351681168872705,-0.559436628775777,0.141689954873214,4.06185023658253,0.209079511790797,0.768025007025444,-54.1489267515153,9.2885300117834
18,84,-0.731624687455854,-0.070446410155817,-1.85364975226743,0.171237473829347,0.312515426588106,0.0204753811368276,-0.329585167427693,-0.521298870459203,0.0552907360437099,4.11198136710999,0.41054001264198,0.813482789513981,-51.536556481464,9.71761973836553
18,85,-0.715503785328797,-0.0725146939926997,-1.85491795788453,0.269389167855036,0.383777035681549,0.0523833829286471,-0.337952362277187,-0.434841299464161,-0.0220588483984588,3.73442378331511,0.527896616421171,0.842458907584706,-48.8230973502536,9.9167378917987
18,86,-0.70552385113745,-0.074618665421034,-1.84928148482784,0.374352076638971,0.450679023657252,0.0929597561714015,-0.362642963764628,-0.336973576918955,-0.0815784614226804,3.03514234871345,0.596322642726308,0.780433799041214,-46.0157965538523,9.74926768725462
18,87,-0.705040855880622,-0.0744730368080391,-1.83559346562041,0.480149417559186,0.510158536158483,0.144076985245041,-0.393551480802531,-0.267536514037899,-0.128027647690421,2.23840333047705,0.668160517323797,0.599505757410414,-42.9899504753792,9.29980359377553
18,88,-0.716263614290911,-0.0690682297793578,-1.81244942289052,0.580690937153224,0.560593443240421,0.207383079089518,-0.446981964686601,-0.229355328382357,-0.15834999706685,1.59819524386742,0.757025715350491,0.388693702336699,-39.4920051782759,8.75014991758279
18,89,-0.739229155659346,-0.0548637246397998,-1.7777185855396,0.670842285499179,0.601993705719116,0.283810984698133,-0.566122886239276,-0.178252778869125,-0.233952705448823,1.26283422571319,0.87942451019825,0.146418972227436,-35.2761485909917,8.19194698219098
18,90,-0.770883790001435,-0.0281715479901101,-1.72812547907707,0.747543759405344,0.635755362047366,0.372985242511662,-0.757453395459834,-0.105838134164666,-0.286248827028661,1.16148548189795,0.951250806229698,-0.0730171732702042,-30.2797438752756,7.54128857344735
18,91,-0.804494223183974,0.0143734088544418,-1.65898127186222,0.810708486541368,0.663997113598134,0.472705928818239,-1.07172040992107,0.0492171336761248,-0.290695811879379,1.36911273939263,0.889959841007191,-0.160611810804766,-24.8606670254731,6.73718877982119
18,92,-0.829577432277468,0.0753674655238717,-1.56421886853646,0.863512986352861,0.688667161629626,0.578702372323794,-1.41579672091135,0.478519441562437,-0.305871150491607,2.283731186187,0.663709300064805,-0.040694434027311,-19.7948833465086,5.99292508017621
